PackageName,URL,Description
java.rmi.registry,https://docs.oracle.com/javase/8/docs/api/java/rmi/registry/package-summary.html,Provides a class and two interfaces for the RMI registry.
java.rmi.server,https://docs.oracle.com/javase/8/docs/api/java/rmi/server/package-summary.html,Provides classes and interfaces for supporting the serverside of RMI.
java.security,https://docs.oracle.com/javase/8/docs/api/java/security/package-summary.html,Provides the classes and interfaces for the security framework.
java.security.acl,https://docs.oracle.com/javase/8/docs/api/java/security/acl/package-summary.html,The classes and interfaces in this package have been superseded by classes in the java.security package.
java.security.cert,https://docs.oracle.com/javase/8/docs/api/java/security/cert/package-summary.html,"Provides classes and interfaces for parsing and managing certificates, certificate revocation lists (CRLs), and certification paths."
java.security.interfaces,https://docs.oracle.com/javase/8/docs/api/java/security/interfaces/package-summary.html,"Provides interfaces for generating RSA (Rivest, Shamir and Adleman AsymmetricCipher algorithm) keys as defined in the RSA Laboratory Technical Note PKCS#1, and DSA (Digital Signature Algorithm) keys as defined in NIST's FIPS-186."
java.security.spec,https://docs.oracle.com/javase/8/docs/api/java/security/spec/package-summary.html,Provides classes and interfaces for key specifications and algorithm parameter specifications.
java.sql,https://docs.oracle.com/javase/8/docs/api/java/sql/package-summary.html,Provides the API for accessing and processing data stored in a data source (usually a relational database) using the JavaTM programming language.
java.text,https://docs.oracle.com/javase/8/docs/api/java/text/package-summary.html,"Provides classes and interfaces for handling text, dates, numbers, and messagesin a manner independent of natural languages."
java.text.spi,https://docs.oracle.com/javase/8/docs/api/java/text/spi/package-summary.html,Service provider classes for the classes in the java.text package.
java.time,https://docs.oracle.com/javase/8/docs/api/java/time/package-summary.html,"The main API for dates, times, instants, and durations."
java.time.chrono,https://docs.oracle.com/javase/8/docs/api/java/time/chrono/package-summary.html,Generic API for calendar systems other than the default ISO.
java.time.format,https://docs.oracle.com/javase/8/docs/api/java/time/format/package-summary.html,Provides classes to print and parse dates and times.
java.time.temporal,https://docs.oracle.com/javase/8/docs/api/java/time/temporal/package-summary.html,"Access to date and time using fields and units, and date time adjusters."
java.time.zone,https://docs.oracle.com/javase/8/docs/api/java/time/zone/package-summary.html,Support for time-zones and their rules.
java.util,https://docs.oracle.com/javase/8/docs/api/java/util/package-summary.html,"Contains the collections framework, legacy collection classes, event model,date and time facilities, internationalization, and miscellaneous utilityclasses (a string tokenizer, a random-number generator, and a bit array)."
java.util.concurrent,https://docs.oracle.com/javase/8/docs/api/java/util/concurrent/package-summary.html,Utility classes commonly useful in concurrent programming.
java.util.concurrent.atomic,https://docs.oracle.com/javase/8/docs/api/java/util/concurrent/atomic/package-summary.html,A small toolkit of classes that support lock-free thread-safe programming on single variables.
java.util.concurrent.locks,https://docs.oracle.com/javase/8/docs/api/java/util/concurrent/locks/package-summary.html,Interfaces and classes providing a framework for locking and waiting for conditions that is distinct from built-in synchronization and monitors.
java.util.function,https://docs.oracle.com/javase/8/docs/api/java/util/function/package-summary.html,Functional interfaces provide target types for lambda expressions and method references.
java.util.jar,https://docs.oracle.com/javase/8/docs/api/java/util/jar/package-summary.html,"Provides classes for reading and writing the JAR (Java ARchive) fileformat, which is based on the standard ZIP file format with anoptional manifest file."
java.util.logging,https://docs.oracle.com/javase/8/docs/api/java/util/logging/package-summary.html,Provides the classes and interfaces of the JavaTM 2 platform's core logging facilities.
java.util.prefs,https://docs.oracle.com/javase/8/docs/api/java/util/prefs/package-summary.html,This package allows applications to store and retrieve user and systempreference and configuration data.
java.util.regex,https://docs.oracle.com/javase/8/docs/api/java/util/regex/package-summary.html,Classes for matching character sequences against patterns specified by regularexpressions.
java.util.spi,https://docs.oracle.com/javase/8/docs/api/java/util/spi/package-summary.html,Service provider classes for the classes in the java.util package.
java.util.stream,https://docs.oracle.com/javase/8/docs/api/java/util/stream/package-summary.html,"Classes to support functional-style operations on streams of elements, such as map-reduce transformations on collections."
java.util.zip,https://docs.oracle.com/javase/8/docs/api/java/util/zip/package-summary.html,Provides classes for reading and writing the standard ZIP and GZIPfile formats.
javax.accessibility,https://docs.oracle.com/javase/8/docs/api/javax/accessibility/package-summary.html,Defines a contract between user-interface components and an assistive technologythat provides access to those components.
javax.activation,https://docs.oracle.com/javase/8/docs/api/javax/activation/package-summary.html,NULL
javax.activity,https://docs.oracle.com/javase/8/docs/api/javax/activity/package-summary.html,Contains Activity service related exceptions thrown by the ORB machinery duringunmarshalling.
javax.annotation,https://docs.oracle.com/javase/8/docs/api/javax/annotation/package-summary.html,NULL
javax.annotation.processing,https://docs.oracle.com/javase/8/docs/api/javax/annotation/processing/package-summary.html,Facilities for declaring annotation processors and for allowing annotation processors to communicate with an annotation processing tool environment.
javax.crypto,https://docs.oracle.com/javase/8/docs/api/javax/crypto/package-summary.html,Provides the classes and interfaces for cryptographic operations.
javax.crypto.interfaces,https://docs.oracle.com/javase/8/docs/api/javax/crypto/interfaces/package-summary.html,Provides interfaces for Diffie-Hellman keys as defined inRSA Laboratories' PKCS #3.
javax.crypto.spec,https://docs.oracle.com/javase/8/docs/api/javax/crypto/spec/package-summary.html,Provides classes and interfaces for key specifications and algorithmparameter specifications.
javax.imageio,https://docs.oracle.com/javase/8/docs/api/javax/imageio/package-summary.html,The main package of the Java Image I/O API.
javax.imageio.event,https://docs.oracle.com/javase/8/docs/api/javax/imageio/event/package-summary.html,A package of the Java Image I/O API dealing with synchronousnotification of events during the reading and writing of images.
javax.imageio.metadata,https://docs.oracle.com/javase/8/docs/api/javax/imageio/metadata/package-summary.html,A package of the Java Image I/O API dealing with reading and writingmetadata.
javax.imageio.plugins.bmp,https://docs.oracle.com/javase/8/docs/api/javax/imageio/plugins/bmp/package-summary.html,Package containing the public classes used by the built-in BMP plug-in.
javax.imageio.plugins.jpeg,https://docs.oracle.com/javase/8/docs/api/javax/imageio/plugins/jpeg/package-summary.html,Classes supporting the built-in JPEG plug-in.
javax.imageio.spi,https://docs.oracle.com/javase/8/docs/api/javax/imageio/spi/package-summary.html,"A package of the Java Image I/O API containing the plug-in interfacesfor readers, writers, transcoders, and streams, and a runtimeregistry."
javax.imageio.stream,https://docs.oracle.com/javase/8/docs/api/javax/imageio/stream/package-summary.html,A package of the Java Image I/O API dealing with low-level I/O fromfiles and streams.
javax.jws,https://docs.oracle.com/javase/8/docs/api/javax/jws/package-summary.html,NULL
javax.jws.soap,https://docs.oracle.com/javase/8/docs/api/javax/jws/soap/package-summary.html,NULL
javax.lang.model,https://docs.oracle.com/javase/8/docs/api/javax/lang/model/package-summary.html,Classes and hierarchies of packages used to model the Java programming language.
javax.lang.model.element,https://docs.oracle.com/javase/8/docs/api/javax/lang/model/element/package-summary.html,Interfaces used to model elements of the Java programming language.
javax.lang.model.type,https://docs.oracle.com/javase/8/docs/api/javax/lang/model/type/package-summary.html,Interfaces used to model Java programming language types.
javax.lang.model.util,https://docs.oracle.com/javase/8/docs/api/javax/lang/model/util/package-summary.html,Utilities to assist in the processing of program elements and types.
javax.management,https://docs.oracle.com/javase/8/docs/api/javax/management/package-summary.html,Provides the core classes for the Java Management Extensions.
javax.management.loading,https://docs.oracle.com/javase/8/docs/api/javax/management/loading/package-summary.html,Provides the classes which implement advanced dynamic loading.
javax.management.modelmbean,https://docs.oracle.com/javase/8/docs/api/javax/management/modelmbean/package-summary.html,Provides the definition of the ModelMBean classes.
javax.management.monitor,https://docs.oracle.com/javase/8/docs/api/javax/management/monitor/package-summary.html,Provides the definition of the monitor classes.
javax.management.openmbean,https://docs.oracle.com/javase/8/docs/api/javax/management/openmbean/package-summary.html,Provides the open data types and Open MBean descriptor classes.
javax.management.relation,https://docs.oracle.com/javase/8/docs/api/javax/management/relation/package-summary.html,Provides the definition of the Relation Service.
javax.management.remote,https://docs.oracle.com/javase/8/docs/api/javax/management/remote/package-summary.html,Interfaces for remote access to JMX MBean servers.
javax.management.remote.rmi,https://docs.oracle.com/javase/8/docs/api/javax/management/remote/rmi/package-summary.html,The RMI connector is a connector for the JMX Remote API that uses RMI to transmit client requests to a remote MBean server.
javax.management.timer,https://docs.oracle.com/javase/8/docs/api/javax/management/timer/package-summary.html,Provides the definition of the Timer MBean.
javax.naming,https://docs.oracle.com/javase/8/docs/api/javax/naming/package-summary.html,Provides the classes and interfaces for accessing naming services.
javax.naming.directory,https://docs.oracle.com/javase/8/docs/api/javax/naming/directory/package-summary.html,Extends the javax.naming package to provide functionalityfor accessing directory services.
javax.naming.event,https://docs.oracle.com/javase/8/docs/api/javax/naming/event/package-summary.html,Provides support for event notification when accessing naming anddirectory services.
javax.naming.ldap,https://docs.oracle.com/javase/8/docs/api/javax/naming/ldap/package-summary.html,Provides support for LDAPv3 extended operations and controls.
javax.naming.spi,https://docs.oracle.com/javase/8/docs/api/javax/naming/spi/package-summary.html,NULL
javax.net,https://docs.oracle.com/javase/8/docs/api/javax/net/package-summary.html,Provides classes for networking applications.
javax.net.ssl,https://docs.oracle.com/javase/8/docs/api/javax/net/ssl/package-summary.html,Provides classes for the secure socket package.
javax.print,https://docs.oracle.com/javase/8/docs/api/javax/print/package-summary.html,Provides the principal classes and interfaces for the JavaTM Print Service API.
javax.print.attribute,https://docs.oracle.com/javase/8/docs/api/javax/print/attribute/package-summary.html,Provides classes and interfacesthat describe the types of JavaTM PrintService attributes and how they can be collected into attribute sets.
javax.print.attribute.standard,https://docs.oracle.com/javase/8/docs/api/javax/print/attribute/standard/package-summary.html,Package javax.print.attribute.standardcontains classes for specific printing attributes.
javax.print.event,https://docs.oracle.com/javase/8/docs/api/javax/print/event/package-summary.html,Package javax.print.event contains event classes and listener interfaces.
javax.rmi,https://docs.oracle.com/javase/8/docs/api/javax/rmi/package-summary.html,Contains user APIs for RMI-IIOP.
javax.rmi.CORBA,https://docs.oracle.com/javase/8/docs/api/javax/rmi/CORBA/package-summary.html,Contains portability APIs for RMI-IIOP.
javax.rmi.ssl,https://docs.oracle.com/javase/8/docs/api/javax/rmi/ssl/package-summary.html,Provides implementations of RMIClientSocketFactory and RMIServerSocketFactory over the Secure Sockets Layer (SSL) or Transport Layer Security (TLS) protocols.
javax.script,https://docs.oracle.com/javase/8/docs/api/javax/script/package-summary.html,The scripting API consists of interfaces and classes that defineJava TM Scripting Engines and providesa framework for their use in Java applications.
javax.security.auth,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/package-summary.html,This package provides a framework for authentication and authorization.
javax.security.auth.callback,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/callback/package-summary.html,"This package provides the classes necessary for services to interact with applications in order to retrieve information (authentication data including usernames or passwords, for example) or to display information (error and warning messages, for example)."
javax.security.auth.kerberos,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/kerberos/package-summary.html,This package contains utility classes related to the Kerberos network authentication protocol.
javax.security.auth.login,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/login/package-summary.html,This package provides a pluggable authentication framework.
javax.security.auth.spi,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/spi/package-summary.html,This package provides the interface to be used for implementing pluggable authentication modules.
javax.security.auth.x500,https://docs.oracle.com/javase/8/docs/api/javax/security/auth/x500/package-summary.html,This package contains the classes that should be used to store X500 Principal and X500 Private Credentials in a Subject.
javax.security.cert,https://docs.oracle.com/javase/8/docs/api/javax/security/cert/package-summary.html,Provides classes for public key certificates.
javax.security.sasl,https://docs.oracle.com/javase/8/docs/api/javax/security/sasl/package-summary.html,Contains class and interfaces for supporting SASL.
javax.sound.midi,https://docs.oracle.com/javase/8/docs/api/javax/sound/midi/package-summary.html,"Provides interfaces and classes for I/O, sequencing, and synthesis of MIDI (Musical Instrument Digital Interface) data."
javax.sound.midi.spi,https://docs.oracle.com/javase/8/docs/api/javax/sound/midi/spi/package-summary.html,"Supplies interfaces for service providers to implement whenoffering new MIDI devices, MIDI file readers and writers, or sound bank readers."
javax.sound.sampled,https://docs.oracle.com/javase/8/docs/api/javax/sound/sampled/package-summary.html,"Provides interfaces and classes for capture, processing, and playback of sampled audio data."
javax.sound.sampled.spi,https://docs.oracle.com/javase/8/docs/api/javax/sound/sampled/spi/package-summary.html,"Supplies abstract classes for service providers to subclass whenoffering new audio devices, sound file readers and writers, or audio format converters."
javax.sql,https://docs.oracle.com/javase/8/docs/api/javax/sql/package-summary.html,Provides the API for server side data source access and processing fromthe JavaTM programming language.
javax.sql.rowset,https://docs.oracle.com/javase/8/docs/api/javax/sql/rowset/package-summary.html,Standard interfaces and base classes for JDBC RowSetimplementations.
javax.sql.rowset.serial,https://docs.oracle.com/javase/8/docs/api/javax/sql/rowset/serial/package-summary.html,Provides utility classes to allow serializable mappings between SQL typesand data types in the Java programming language.
javax.sql.rowset.spi,https://docs.oracle.com/javase/8/docs/api/javax/sql/rowset/spi/package-summary.html,The standard classes and interfaces that a third party vendor has touse in its implementation of a synchronization provider.
javax.swing,https://docs.oracle.com/javase/8/docs/api/javax/swing/package-summary.html,"Provides a set of ""lightweight""(all-Java language) components that,to the maximum degree possible, work the same on all platforms."
javax.swing.border,https://docs.oracle.com/javase/8/docs/api/javax/swing/border/package-summary.html,Provides classes and interface for drawingspecialized borders around a Swing component.
javax.swing.colorchooser,https://docs.oracle.com/javase/8/docs/api/javax/swing/colorchooser/package-summary.html,Contains classes and interfaces used by the JColorChoosercomponent.
javax.swing.event,https://docs.oracle.com/javase/8/docs/api/javax/swing/event/package-summary.html,Provides for events fired by Swing components.
javax.swing.filechooser,https://docs.oracle.com/javase/8/docs/api/javax/swing/filechooser/package-summary.html,Contains classes and interfaces used by the JFileChooser component.
javax.swing.plaf,https://docs.oracle.com/javase/8/docs/api/javax/swing/plaf/package-summary.html,Provides one interface and many abstract classes thatSwing uses to provide its pluggable look-and-feel capabilities.
javax.swing.plaf.basic,https://docs.oracle.com/javase/8/docs/api/javax/swing/plaf/basic/package-summary.html,Provides user interface objects built according to theBasic look and feel.
javax.swing.plaf.metal,https://docs.oracle.com/javase/8/docs/api/javax/swing/plaf/metal/package-summary.html,"Provides user interface objects built according tothe Java look and feel (once codenamed Metal),which is the default look and feel."
javax.swing.plaf.multi,https://docs.oracle.com/javase/8/docs/api/javax/swing/plaf/multi/package-summary.html,Provides user interface objects that combine two or more look and feels.
javax.swing.plaf.nimbus,https://docs.oracle.com/javase/8/docs/api/javax/swing/plaf/nimbus/package-summary.html,Provides user interface objects built according to the cross-platformNimbus look and feel.
javax.swing.plaf.synth,https://docs.oracle.com/javase/8/docs/api/javax/swing/plaf/synth/package-summary.html,Synth is a skinnable look and feel in which all painting is delegated.
javax.swing.table,https://docs.oracle.com/javase/8/docs/api/javax/swing/table/package-summary.html,Provides classes and interfaces for dealing withjavax.swing.JTable.
javax.swing.text,https://docs.oracle.com/javase/8/docs/api/javax/swing/text/package-summary.html,Provides classes and interfaces that deal with editableand noneditable text components.
javax.swing.text.html,https://docs.oracle.com/javase/8/docs/api/javax/swing/text/html/package-summary.html,Provides the class HTMLEditorKit and supporting classesfor creating HTML text editors.
javax.swing.text.html.parser,https://docs.oracle.com/javase/8/docs/api/javax/swing/text/html/parser/package-summary.html,"Provides the default HTML parser, along with support classes."
javax.swing.text.rtf,https://docs.oracle.com/javase/8/docs/api/javax/swing/text/rtf/package-summary.html,Provides a class (RTFEditorKit) for creating Rich-Text-Formattext editors.
javax.swing.tree,https://docs.oracle.com/javase/8/docs/api/javax/swing/tree/package-summary.html,Provides classes and interfaces for dealing withjavax.swing.JTree.
javax.swing.undo,https://docs.oracle.com/javase/8/docs/api/javax/swing/undo/package-summary.html,Allows developers to provide support for undo/redoin applications such as text editors.
javax.tools,https://docs.oracle.com/javase/8/docs/api/javax/tools/package-summary.html,"Provides interfaces for tools which can be invoked from a program, for example, compilers."
javax.transaction,https://docs.oracle.com/javase/8/docs/api/javax/transaction/package-summary.html,Contains three exceptions thrown by the ORB machinery during unmarshalling.
javax.transaction.xa,https://docs.oracle.com/javase/8/docs/api/javax/transaction/xa/package-summary.html,"Provides the API that defines the contract between the transaction manager and the resource manager, which allows the transaction manager to enlist and delist resource objects (supplied by the resource manager driver) in JTA transactions."
javax.xml,https://docs.oracle.com/javase/8/docs/api/javax/xml/package-summary.html,NULL
javax.xml.bind,https://docs.oracle.com/javase/8/docs/api/javax/xml/bind/package-summary.html,"Provides a runtime binding framework for client applications including unmarshalling, marshalling, and validation capabilities."
javax.xml.bind.annotation,https://docs.oracle.com/javase/8/docs/api/javax/xml/bind/annotation/package-summary.html,Defines annotations for customizing Java program elements to XML Schema mapping.
javax.xml.bind.annotation.adapters,https://docs.oracle.com/javase/8/docs/api/javax/xml/bind/annotation/adapters/package-summary.html,XmlAdapter and its spec-defined sub-classes to allow arbitrary Java classes to be used with JAXB.
javax.xml.bind.attachment,https://docs.oracle.com/javase/8/docs/api/javax/xml/bind/attachment/package-summary.html,This package is implemented by a MIME-based package processor that enables the interpretation and creation of optimized binary data within an MIME-based package format.
javax.xml.bind.helpers,https://docs.oracle.com/javase/8/docs/api/javax/xml/bind/helpers/package-summary.html,JAXB Provider Use Only: Provides partial default implementations for some of the javax.xml.bind interfaces.
javax.xml.bind.util,https://docs.oracle.com/javase/8/docs/api/javax/xml/bind/util/package-summary.html,Useful client utility classes.
javax.xml.crypto,https://docs.oracle.com/javase/8/docs/api/javax/xml/crypto/package-summary.html,Common classes for XML cryptography.
javax.xml.crypto.dom,https://docs.oracle.com/javase/8/docs/api/javax/xml/crypto/dom/package-summary.html,DOM-specific classes for the javax.xml.crypto package.
javax.xml.crypto.dsig,https://docs.oracle.com/javase/8/docs/api/javax/xml/crypto/dsig/package-summary.html,Classes for generating and validating XML digitalsignatures.
javax.xml.crypto.dsig.dom,https://docs.oracle.com/javase/8/docs/api/javax/xml/crypto/dsig/dom/package-summary.html,DOM-specific classes for the javax.xml.crypto.dsig package.
javax.xml.crypto.dsig.keyinfo,https://docs.oracle.com/javase/8/docs/api/javax/xml/crypto/dsig/keyinfo/package-summary.html,Classes for parsing and processing KeyInfo elements and structures.
javax.xml.crypto.dsig.spec,https://docs.oracle.com/javase/8/docs/api/javax/xml/crypto/dsig/spec/package-summary.html,Parameter classes for XML digital signatures.
javax.xml.datatype,https://docs.oracle.com/javase/8/docs/api/javax/xml/datatype/package-summary.html,XML/Java Type Mappings.
javax.xml.namespace,https://docs.oracle.com/javase/8/docs/api/javax/xml/namespace/package-summary.html,XML Namespace processing.
javax.xml.parsers,https://docs.oracle.com/javase/8/docs/api/javax/xml/parsers/package-summary.html,Provides classes allowing the processing of XML documents.
javax.xml.soap,https://docs.oracle.com/javase/8/docs/api/javax/xml/soap/package-summary.html,Provides the API for creating and building SOAP messages.
javax.xml.stream,https://docs.oracle.com/javase/8/docs/api/javax/xml/stream/package-summary.html,NULL
javax.xml.stream.events,https://docs.oracle.com/javase/8/docs/api/javax/xml/stream/events/package-summary.html,NULL
javax.xml.stream.util,https://docs.oracle.com/javase/8/docs/api/javax/xml/stream/util/package-summary.html,NULL
javax.xml.transform,https://docs.oracle.com/javase/8/docs/api/javax/xml/transform/package-summary.html,"This package defines the generic APIs for processing transformationinstructions, and performing a transformation from source to result."
javax.xml.transform.dom,https://docs.oracle.com/javase/8/docs/api/javax/xml/transform/dom/package-summary.html,This package implements DOM-specific transformation APIs.
javax.xml.transform.sax,https://docs.oracle.com/javase/8/docs/api/javax/xml/transform/sax/package-summary.html,This package implements SAX2-specific transformation APIs.
javax.xml.transform.stax,https://docs.oracle.com/javase/8/docs/api/javax/xml/transform/stax/package-summary.html,Provides for StAX-specific transformation APIs.
javax.xml.transform.stream,https://docs.oracle.com/javase/8/docs/api/javax/xml/transform/stream/package-summary.html,This package implements stream- and URI- specific transformation APIs.
javax.xml.validation,https://docs.oracle.com/javase/8/docs/api/javax/xml/validation/package-summary.html,This package provides an API for validation of XML documents.
javax.xml.ws,https://docs.oracle.com/javase/8/docs/api/javax/xml/ws/package-summary.html,This package contains the core JAX-WS APIs.
javax.xml.ws.handler,https://docs.oracle.com/javase/8/docs/api/javax/xml/ws/handler/package-summary.html,This package defines APIs for message handlers.
javax.xml.ws.handler.soap,https://docs.oracle.com/javase/8/docs/api/javax/xml/ws/handler/soap/package-summary.html,This package defines APIs for SOAP message handlers.
javax.xml.ws.http,https://docs.oracle.com/javase/8/docs/api/javax/xml/ws/http/package-summary.html,This package defines APIs specific to the HTTP binding.
javax.xml.ws.soap,https://docs.oracle.com/javase/8/docs/api/javax/xml/ws/soap/package-summary.html,This package defines APIs specific to the SOAP binding.
javax.xml.ws.spi,https://docs.oracle.com/javase/8/docs/api/javax/xml/ws/spi/package-summary.html,This package defines SPIs for JAX-WS.
javax.xml.ws.spi.http,https://docs.oracle.com/javase/8/docs/api/javax/xml/ws/spi/http/package-summary.html,Provides HTTP SPI that is used for portable deployment of JAX-WS web services in containers(for e.g.
javax.xml.ws.wsaddressing,https://docs.oracle.com/javase/8/docs/api/javax/xml/ws/wsaddressing/package-summary.html,This package defines APIs related to WS-Addressing.
javax.xml.xpath,https://docs.oracle.com/javase/8/docs/api/javax/xml/xpath/package-summary.html,This package provides an object-model neutral API for theevaluation of XPath expressions and access to the evaluationenvironment.
org.ietf.jgss,https://docs.oracle.com/javase/8/docs/api/org/ietf/jgss/package-summary.html,"This package presents a framework that allows application developers to make use of security services like authentication, data integrity and data confidentiality from a variety of underlying security mechanisms like Kerberos, using a unified API."
org.omg.CORBA,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/package-summary.html,"Provides the mapping of the OMG CORBA APIs to the JavaTMprogramming language, including the class ORB, which is implementedso that a programmer can use it as a fully-functional Object Request Broker(ORB)."
org.omg.CORBA_2_3,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA_2_3/package-summary.html,The CORBA_2_3 package defines additions to existing CORBA interfacesin the Java[tm] Standard Edition 6. These changes occurred in recentrevisions to the CORBA API defined by the OMG. The new methods wereadded to interfaces derived from the corresponding interfaces inthe CORBA package. This provides backward compatibility and avoidsbreaking the JCK tests.
org.omg.CORBA_2_3.portable,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA_2_3/portable/package-summary.html,"Provides methods for the input and output of value types, and contains other updates to the org/omg/CORBA/portable package."
org.omg.CORBA.DynAnyPackage,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/DynAnyPackage/package-summary.html,"Provides the exceptions used with the DynAny interface (InvalidValue, Invalid, InvalidSeq, and TypeMismatch)."
org.omg.CORBA.ORBPackage,https://docs.oracle.com/javase/8/docs/api/org/omg/CORBA/ORBPackage/package-summary.html,"Provides the exception InvalidName, which is thrownby the method ORB.resolve_initial_referencesand the exception InconsistentTypeCode, which is thrownby the Dynamic Any creation methods in the ORB class."
